timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-26 16:55:36.468,POSCTL,False,0.314,-2.33,359.179,-0.0001,-0.0003,0.0002,0.0014,-0.0049,-0.0305,0.0,0.0003,-0.0004,0.0,0.03,83,16.007,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:55:37.484,POSCTL,True,0.318,-2.336,359.096,0.0054,0.0037,0.0059,0.0013,-0.0057,-0.0299,0.0001,0.001,-0.0008,0.001,0.03,83,15.991,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:55:38.488,POSCTL,True,0.313,-2.329,359.096,-0.0117,0.0098,0.0103,0.0015,-0.0055,-0.0308,0.0016,0.0006,-0.0017,0.002,0.031,83,15.991,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:55:39.500,POSCTL,True,0.33,-2.33,359.062,0.0162,-0.0009,0.0008,0.0012,-0.0057,-0.0312,-0.0011,0.0023,-0.0021,0.003,0.031,83,15.981,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:55:40.505,POSCTL,True,0.313,-2.317,358.684,0.0066,0.0154,0.0072,0.0014,-0.0059,-0.0307,0.0009,0.0017,-0.0012,0.002,0.031,83,15.981,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:55:41.511,AUTO.SUB_0,True,-0.686,-1.115,353.202,-0.0016,-0.052,-0.0591,-0.0409,0.0148,-0.813,-0.0586,0.0331,-0.8987,0.067,0.813,71,15.332,0.0,0.0,0.0,0.03,ON,0.82
2026-03-26 16:55:42.517,AUTO.SUB_0,True,-0.508,-1.5,350.713,0.0206,-0.1162,-0.0382,-0.0853,0.0498,-1.2633,-0.0414,0.0283,-0.3463,0.05,1.263,71,15.332,0.0,0.0,0.0,0.03,ON,1.27
2026-03-26 16:55:43.521,AUTO.SUB_0,True,-0.392,-1.556,349.01,-0.0733,0.0407,-0.0076,-0.1445,0.0686,-1.4973,0.0063,-0.0119,-0.1548,0.013,1.497,64,14.956,0.0,0.0,0.0,0.03,ON,1.49
2026-03-26 16:55:44.532,AUTO.SUB_0,True,-0.254,-1.843,349.555,0.0834,0.0398,0.0036,-0.1582,0.0552,-1.6001,0.0573,-0.0333,-0.0785,0.066,1.6,64,14.956,0.0,0.0,0.0,0.03,ON,1.6
2026-03-26 16:55:45.540,AUTO.SUB_0,True,0.0,0.0,0.0,0,0,0,-0.0677,0.008,-1.6511,0.0669,-0.0395,-0.0372,0.078,1.651,61,14.836,0.0,0.0,0.0,0.03,ON,1.64
2026-03-26 16:55:46.545,AUTO.SUB_0,True,-0.129,-0.911,348.996,-0.0485,0.0581,-0.0192,0.0069,-0.0053,-1.671,0.0048,0.009,-0.0125,0.01,1.671,61,14.836,0.0,0.0,0.0,0.03,ON,1.67
2026-03-26 16:55:47.549,AUTO.SUB_0,True,-0.139,-0.894,348.974,0.041,0.035,0.0144,0.0424,-0.0136,-1.6843,-0.0333,0.0117,-0.0016,0.035,1.684,60,14.764,0.0,0.0,0.0,0.03,ON,1.7
