timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-26 18:08:27.061,POSCTL,False,0.061,-2.604,348.503,-0.0003,-0.0002,0.0004,0.0,-0.0022,-0.0293,-0.0007,0.0006,0.0018,0.001,0.029,95,16.558,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 18:08:28.064,POSCTL,True,0.065,-2.601,348.509,0.0148,-0.0117,-0.0078,0.0001,-0.0023,-0.0291,0.0008,0.0002,0.0021,0.001,0.029,95,16.543,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 18:08:29.068,POSCTL,True,0.063,-2.598,348.547,-0.0067,0.0048,0.0008,-0.0001,-0.0029,-0.0289,-0.0004,0.0007,0.0024,0.001,0.029,94,16.535,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 18:08:30.072,POSCTL,True,0.066,-2.591,348.617,0.0009,0.0159,0.0076,-0.0001,-0.0025,-0.0293,-0.0018,0.0001,0.0013,0.002,0.029,95,16.544,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 18:08:31.074,POSCTL,True,0.071,-2.601,348.595,0.0065,-0.0002,-0.0048,-0.0001,-0.003,-0.0297,-0.0003,-0.0016,0.0005,0.002,0.03,95,16.556,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 18:08:32.078,AUTO.SUB_0,True,-0.709,-1.23,341.39,0.0133,0.0506,-0.0415,-0.0356,0.0271,-0.72,-0.0843,0.0563,-1.3407,0.101,0.72,81,15.795,0.0,0.0,0.0,0.03,ON,0.69
2026-03-26 18:08:33.081,PX4_0,False,-0.82,-1.255,336.229,0.0308,-0.0379,-0.0081,-0.0491,0.0595,-1.2467,-0.0337,0.0732,-0.3513,0.081,1.247,78,15.654,0.0,0.0,0.0,0.03,ON,1.26
2026-03-26 18:08:34.084,AUTO.SUB_0,True,-0.76,-2.146,329.125,0.0434,0.0291,0.0003,-0.1118,0.1377,-1.5007,-0.0018,0.0127,-0.1588,0.013,1.501,74,15.43,0.0,0.0,0.0,0.03,ON,1.5
2026-03-26 18:08:35.085,AUTO.SUB_0,True,-0.702,-2.211,346.041,-0.052,0.0029,-0.0071,-0.1845,0.1657,-1.6139,0.0312,-0.0917,-0.0731,0.097,1.614,72,15.347,0.0,0.0,0.0,0.03,ON,1.6
2026-03-26 18:08:36.088,AUTO.SUB_0,True,-0.499,-2.569,346.078,0.0004,0.0555,-0.0178,-0.261,0.146,-1.6612,0.1167,-0.1102,-0.0316,0.161,1.661,71,15.305,0.0,0.0,0.0,0.03,ON,1.65
2026-03-26 18:08:37.090,PX4_0,False,-0.418,-2.122,345.943,-0.0941,-0.0756,-0.0223,-0.2489,0.1142,-1.6701,0.1597,-0.1174,-0.0134,0.198,1.67,70,15.278,0.0,0.0,0.0,0.03,ON,1.66
2026-03-26 18:08:38.094,AUTO.SUB_0,True,-0.261,-0.952,345.645,0.0611,0.0206,-0.0092,-0.0906,0.0607,-1.6754,0.1246,-0.0822,-0.0091,0.149,1.675,69,15.226,0.0,0.0,0.0,0.03,ON,1.66
2026-03-26 18:08:39.097,OFFBOARD,True,0.285,0.581,347.649,-0.053,-0.0446,0.1134,0.0024,0.0145,-1.6618,0.0105,0.0039,0.0143,0.011,1.662,69,15.206,0.0,0.0,0.0,0.03,ON,1.66
2026-03-26 18:08:40.099,OFFBOARD,True,0.515,-1.145,351.96,0.0975,-0.0186,0.0447,-0.0024,0.0047,-1.6531,-0.1131,0.0648,0.0042,0.13,1.653,68,15.178,0.0,0.0,0.0,0.03,ON,1.65
2026-03-26 18:08:41.101,PX4_0,False,-0.142,-1.629,353.5,-0.0733,-0.0176,0.0067,-0.012,0.0396,-1.6555,-0.0064,0.0884,0.0038,0.089,1.655,68,15.16,0.0,0.0,0.0,0.03,ON,1.65
2026-03-26 18:08:42.106,OFFBOARD,True,0.042,-1.587,354.03,-0.0582,-0.0669,-0.0082,0.0449,0.0647,-1.657,0.0563,-0.01,-0.0012,0.057,1.657,68,15.14,0.0,0.0,0.0,0.03,ON,1.65
2026-03-26 18:08:43.109,OFFBOARD,True,-0.147,-0.644,353.722,0.0113,0.0267,0.0335,0.1524,0.0605,-1.6483,0.044,-0.0319,0.0039,0.054,1.648,67,15.112,0.0,0.0,0.0,0.03,ON,1.63
2026-03-26 18:08:44.118,OFFBOARD,True,0.33,-1.224,353.823,0.0224,-0.0926,-0.0036,0.193,0.0245,-1.6528,-0.0254,-0.0298,-0.0158,0.039,1.653,66,15.083,0.0,0.0,0.0,0.03,ON,1.65
2026-03-26 18:08:45.123,OFFBOARD,True,0.213,-1.625,354.042,-0.0189,0.0023,-0.026,0.1854,-0.0064,-1.6594,0.0114,0.0009,0.0037,0.011,1.659,66,15.086,0.0,0.0,0.0,0.03,ON,1.66
2026-03-26 18:08:46.127,OFFBOARD,True,-0.428,-1.824,353.866,0.0213,-0.0505,0.0063,0.1951,0.0145,-1.6603,0.0552,0.0264,0.0034,0.061,1.66,66,15.081,0.0,0.0,0.0,0.03,ON,1.66
