timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-26 16:41:52.090,PX4_0,False,0.787,-1.672,1.668,-0.0024,-0.0934,-0.0072,0.2105,-0.2103,-3.2921,-0.0403,0.0206,-0.2821,0.045,3.292,59,14.734,0.0,0.0,0.0,0.03,ON,3.27
2026-03-26 16:41:53.094,PX4_0,False,0.45,-3.174,1.587,0.0604,0.0519,0.0162,0.0963,-0.1606,-3.4396,0.0826,0.0494,-0.0633,0.096,3.44,59,14.734,0.0,0.0,0.0,0.03,ON,3.43
2026-03-26 16:41:54.100,PX4_0,False,-0.306,-2.615,2.372,0.0744,0.0773,0.0222,0.123,-0.0833,-3.4796,0.2161,-0.0074,-0.0229,0.216,3.48,59,14.743,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:41:55.104,PX4_0,False,-0.581,-2.014,2.064,0.0484,-0.0459,-0.0326,0.2173,-0.0494,-3.4935,0.2273,-0.0573,0.002,0.234,3.494,59,14.743,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:41:56.110,PX4_0,False,-0.013,-1.336,2.132,0.03,0.0112,0.0204,0.359,-0.0906,-3.4939,0.198,-0.0919,0.0009,0.218,3.494,59,14.725,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:41:57.113,PX4_0,False,0.499,-0.95,2.988,0.0116,0.0236,0.0006,0.4583,-0.1736,-3.4894,0.0774,-0.0596,-0.0008,0.098,3.489,59,14.725,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:41:58.123,PX4_0,False,0.978,-1.975,3.315,-0.0243,-0.0297,-0.0174,0.4186,-0.2581,-3.4867,0.0294,0.0017,0.0,0.029,3.487,58,14.696,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:41:59.129,OFFBOARD,True,0.374,-2.367,3.733,-0.0303,0.0586,-0.016,0.3716,-0.225,-3.4834,0.1089,0.0576,-0.0095,0.123,3.483,58,14.696,0.0,0.0,0.0,0.03,ON,3.47
2026-03-26 16:42:00.134,PX4_0,False,-0.091,-1.23,3.922,-0.013,-0.0106,-0.0293,0.473,-0.1493,-3.4941,0.1043,0.0032,-0.0131,0.104,3.494,58,14.698,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:01.140,PX4_0,False,0.145,-0.811,3.717,0.0494,0.017,0.0044,0.5952,-0.1651,-3.5055,0.006,-0.0319,0.0059,0.032,3.506,58,14.698,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:02.145,PX4_0,False,0.0,0.0,0.0,0,0,0,0.6236,-0.2185,-3.4966,-0.0836,-0.0057,0.0057,0.084,3.497,58,14.678,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:03.151,PX4_0,False,0.474,-1.072,4.213,-0.0183,0.021,0.0094,0.6159,-0.2388,-3.487,-0.1203,0.0332,-0.006,0.125,3.487,58,14.678,0.0,0.0,0.0,0.03,ON,3.47
2026-03-26 16:42:04.155,PX4_0,False,-0.106,-1.326,3.814,0.0286,-0.0103,0.0244,0.5891,-0.2041,-3.4886,-0.1257,0.0524,-0.0121,0.136,3.489,58,14.664,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:05.159,PX4_0,False,0.005,-0.943,3.512,0.0646,-0.0483,-0.0181,0.6079,-0.1916,-3.4914,-0.0968,0.0094,-0.0073,0.097,3.491,58,14.664,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:06.170,PX4_0,False,0.387,-0.622,3.891,0.0398,-0.0596,-0.0001,0.6698,-0.2423,-3.5018,-0.1506,0.0305,0.0028,0.154,3.502,57,14.647,0.0,0.0,0.0,0.03,ON,0.0
2026-03-26 16:42:07.174,PX4_0,False,-0.492,-0.679,3.95,-0.0215,-0.0697,-0.0241,0.671,-0.1941,-3.4999,-0.2075,0.0394,0.0126,0.211,3.5,57,14.647,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:08.179,PX4_0,False,-0.048,-1.368,4.029,-0.0554,0.0335,0.016,0.5995,-0.1998,-3.4879,-0.1889,-0.042,-0.0043,0.194,3.488,57,14.634,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:09.189,PX4_0,False,-0.387,-1.293,3.595,-0.0252,-0.0828,-0.0143,0.5741,-0.1926,-3.489,-0.135,-0.0201,-0.0078,0.136,3.489,57,14.634,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:10.198,PX4_0,False,0.256,-1.387,3.62,0.029,0.034,0.0045,0.5735,-0.2421,-3.4943,-0.1226,-0.0407,-0.0061,0.129,3.494,57,14.619,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:11.204,PX4_0,False,0.39,-1.04,3.834,-0.0782,0.0553,-0.0139,0.5953,-0.294,-3.4948,-0.1191,0.0059,-0.0014,0.119,3.495,57,14.619,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:12.209,PX4_0,False,-0.086,-0.881,4.358,-0.0799,-0.0296,0.0007,0.6067,-0.2735,-3.4945,-0.1406,0.0132,-0.0054,0.141,3.494,56,14.606,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:13.218,PX4_0,False,-0.075,-1.156,4.69,-0.0774,-0.0382,-0.0373,0.587,-0.2623,-3.4976,-0.1427,-0.0164,-0.0048,0.144,3.498,56,14.606,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:14.224,PX4_0,False,-0.006,-1.926,4.096,0.001,0.048,0.0072,0.5021,-0.2593,-3.4983,-0.0876,-0.049,-0.0083,0.1,3.498,57,14.618,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:15.231,PX4_0,False,0.112,-1.582,4.507,-0.0311,0.0459,-0.001,0.4858,-0.2886,-3.497,-0.0248,-0.0314,-0.0048,0.04,3.497,57,14.618,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:16.241,PX4_0,False,-0.038,-1.803,4.127,0.0714,0.0047,0.0365,0.4673,-0.3027,-3.4987,0.0121,-0.0137,0.0003,0.018,3.499,57,14.614,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:17.249,PX4_0,False,0.144,-1.889,4.294,0.0906,0.0275,0.0106,0.456,-0.3432,-3.4961,0.0633,-0.0133,-0.002,0.065,3.496,57,14.614,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:18.252,PX4_0,False,0.05,-1.57,4.294,0.0116,-0.0714,-0.0101,0.5021,-0.3487,-3.5038,0.0511,0.0319,0.0095,0.06,3.504,56,14.605,0.0,0.0,0.0,0.03,ON,3.51
