timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-25 19:59:12.915,PX4_0,False,0.0,0.0,0.0,0,0,0,0.0,-0.001,-0.0298,-0.0005,0.0001,0.0006,0.001,0.03,88,16.201,0.0,0.12,0.0,0.0,ON,0.01
2026-03-25 19:59:13.922,PX4_0,False,0.339,-2.234,348.15,0.0071,0.0034,0.0043,0.0002,-0.0013,-0.0297,0.0003,0.0011,0.0001,0.001,0.03,87,16.198,0.0,0.12,0.0,0.0,ON,0.01
2026-03-25 19:59:14.933,PX4_0,False,0.352,-2.232,348.517,0.0091,-0.0109,-0.0061,0.0001,-0.0013,-0.0299,0.0004,0.0026,-0.0005,0.003,0.03,87,16.188,0.0,0.12,0.0,0.0,ON,0.01
2026-03-25 19:59:15.938,PX4_0,False,0.348,-2.238,348.565,-0.0047,-0.0007,-0.0123,0.0002,-0.0012,-0.0302,-0.0006,0.0004,-0.0004,0.001,0.03,87,16.192,0.0,0.12,0.0,0.0,ON,0.01
2026-03-25 19:59:16.943,PX4_0,False,0.35,-2.24,348.625,0.0113,-0.0068,-0.0114,0.0001,-0.0017,-0.0304,0.0002,0.0004,-0.0008,0.0,0.03,87,16.197,0.0,0.12,0.0,0.0,ON,0.01
2026-03-25 19:59:17.947,PX4_0,False,-0.204,0.344,342.8,0.0277,0.0093,-0.0477,-0.0219,0.0056,-0.777,0.0085,-0.0123,-0.9637,0.015,0.777,79,15.725,0.0,0.12,0.0,0.0,ON,0.78
2026-03-25 19:59:18.956,PX4_0,False,-1.019,0.681,339.578,0.01,-0.0022,-0.0243,0.0158,0.0241,-1.2822,0.0643,0.0539,-0.3422,0.084,1.282,76,15.536,0.0,0.12,0.0,0.0,ON,1.29
2026-03-25 19:59:19.961,PX4_0,False,-1.475,0.631,335.623,0.0391,-0.0118,-0.01,0.0526,0.1077,-1.5302,0.0415,-0.0107,-0.1465,0.043,1.53,74,15.452,0.0,0.12,0.0,0.0,ON,1.53
2026-03-25 19:59:20.966,PX4_0,False,-1.126,0.774,340.592,0.0098,-0.01,0.0196,0.0702,0.1176,-1.6342,0.0075,-0.0691,-0.0665,0.07,1.634,73,15.384,0.0,0.12,0.0,0.0,ON,1.62
2026-03-25 19:59:21.973,PX4_0,False,-0.76,0.996,340.796,0.0284,0.0151,0.0074,0.0812,0.0679,-1.6585,-0.0084,-0.0603,-0.0277,0.061,1.659,72,15.354,0.0,0.12,0.0,0.0,ON,1.64
2026-03-25 19:59:22.980,PX4_0,False,-0.281,0.928,341.052,0.0247,-0.0088,0.0087,0.0502,-0.0113,-1.673,-0.0465,-0.0304,-0.0125,0.056,1.673,71,15.299,0.0,0.12,0.0,0.0,ON,1.68
2026-03-25 19:59:23.985,AUTO.SUB_0,True,-0.285,0.741,340.997,0.0166,-0.0061,-0.0242,0.0355,-0.0334,-1.6809,-0.0314,-0.01,-0.0105,0.033,1.681,70,15.271,0.0,0.12,0.0,0.0,ON,1.69
2026-03-25 19:59:24.994,PX4_0,False,0.216,-0.073,342.855,-0.0411,0.0135,0.0991,0.0191,-0.0834,-1.6878,0.0376,0.0614,0.0417,0.072,1.688,70,15.242,0.0,0.12,0.0,0.0,ON,1.7
