timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-23 15:07:54.176,POSCTL,True,0.538,-2.099,335.933,0.0057,0.0032,0.0045,-0.0109,-0.0222,-0.0293,0.0001,-0.0007,0.001,0.001,0.029,65,15.138,0.0,0.12,0.0,0.0,ON,0.0
2026-03-23 15:07:55.179,POSCTL,True,0.531,-2.095,335.997,0.0053,-0.0049,0.0106,-0.0107,-0.0225,-0.0295,0.002,0.0029,0.0003,0.004,0.029,65,15.138,0.0,0.12,0.0,0.0,ON,0.0
2026-03-23 15:07:56.181,PX4_0,False,0.536,-2.087,335.916,0.0066,-0.0188,-0.0207,-0.0113,-0.0224,-0.0298,-0.0038,-0.0022,0.0006,0.004,0.03,65,15.131,0.0,0.12,0.0,0.0,ON,0.0
2026-03-23 15:07:57.188,PX4_0,False,0.528,-2.082,336.084,0.0189,0.0296,0.0147,-0.011,-0.0225,-0.0302,-0.0034,-0.0025,-0.0002,0.004,0.03,65,15.142,0.0,0.12,0.0,0.0,ON,0.0
2026-03-23 15:07:58.192,PX4_0,False,-0.529,-1.293,331.327,0.0032,-0.0973,-0.1238,-0.028,0.0084,-0.3121,-0.0878,0.1045,-1.2772,0.136,0.312,55,14.532,0.0,0.12,0.0,0.0,ON,0.28
2026-03-23 15:07:59.199,AUTO.SUB_0,True,-0.268,-1.303,326.756,-0.0214,0.0045,-0.0514,-0.0709,0.0525,-1.0222,-0.019,0.0404,-0.3725,0.045,1.022,50,14.303,0.0,0.12,0.0,0.0,ON,1.01
2026-03-23 15:08:00.212,PX4_0,False,0.0,0.0,0.0,0,0,0,-0.0752,0.1215,-1.3271,0.0177,0.021,-0.2173,0.027,1.327,47,14.151,0.0,0.12,0.0,0.0,ON,1.31
2026-03-23 15:08:01.218,PX4_0,False,-0.867,-1.806,323.574,-0.0857,-0.0173,-0.0023,-0.0667,0.1396,-1.4736,0.0096,-0.0423,-0.127,0.043,1.474,45,14.058,0.0,0.12,0.0,0.0,ON,1.47
2026-03-23 15:08:02.233,PX4_0,False,0.209,-1.438,328.103,0.0174,0.0162,0.0422,-0.0681,0.0793,-1.5678,-0.0163,-0.1002,-0.0676,0.102,1.568,44,14.008,0.0,0.12,0.0,0.0,ON,1.57
2026-03-23 15:08:03.250,PX4_0,False,0.733,-1.501,328.629,-0.0103,-0.0394,-0.0118,-0.0942,-0.0265,-1.6186,0.0125,-0.0496,-0.0358,0.051,1.619,43,13.974,0.0,0.12,0.0,0.0,ON,1.6
2026-03-23 15:08:04.254,PX4_0,False,-0.689,-1.556,328.234,-0.0505,-0.0554,-0.0323,-0.0528,0.0311,-1.6496,0.0374,0.0499,-0.0346,0.062,1.65,43,13.947,0.0,0.12,0.0,0.0,ON,1.65
2026-03-23 15:08:05.257,PX4_0,False,-0.842,-1.632,329.055,0.0296,-0.0855,0.1064,-0.031,0.076,-1.6654,0.031,0.0154,0.0107,0.035,1.665,42,13.925,0.0,0.12,0.0,0.0,ON,1.66
2026-03-23 15:08:06.262,PX4_0,False,-0.993,-1.326,334.135,0.0135,0.0529,0.0453,0.0235,0.0689,-1.5994,0.0443,-0.0444,0.0363,0.063,1.599,42,13.892,0.0,0.12,0.0,0.0,ON,1.59
2026-03-23 15:08:07.265,PX4_0,False,0.37,-1.025,336.079,0.0115,-0.0358,-0.0157,0.0324,-0.0743,-1.5779,-0.0389,-0.0231,0.0006,0.045,1.578,41,13.861,0.0,0.12,0.0,0.0,ON,1.57
2026-03-23 15:08:08.270,PX4_0,False,-0.255,-1.747,336.81,0.0093,-0.0572,-0.0119,0.014,-0.0559,-2.5232,-0.0408,0.0722,-1.3021,0.083,2.523,39,13.738,0.0,0.12,0.0,0.0,ON,2.52
2026-03-23 15:08:09.273,OFFBOARD,True,0.102,-1.971,337.648,0.0082,0.0188,-0.0143,-0.06,0.002,-3.3059,-0.0174,0.064,-0.2483,0.066,3.306,40,13.827,0.0,0.12,0.0,0.0,ON,3.31
