timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-26 17:54:49.218,PX4_0,False,0.097,-2.446,354.646,0.0006,-0.0002,-0.0005,0.0003,-0.0024,-0.0301,-0.0011,0.0003,-0.0001,0.001,0.03,63,15.006,0.0,0.0,0.0,0.03,ON,0.02
2026-03-26 17:54:50.221,PX4_0,False,0.096,-2.451,354.622,0.0049,0.0064,-0.0194,-0.0,-0.0022,-0.0297,0.0001,0.0006,0.0012,0.001,0.03,63,15.002,0.0,0.0,0.0,0.03,ON,0.02
2026-03-26 17:54:51.226,PX4_0,False,0.099,-2.454,354.47,0.0026,-0.0095,-0.0227,0.0007,-0.003,-0.0307,0.001,0.0028,-0.0031,0.003,0.031,62,14.984,0.0,0.0,0.0,0.03,ON,0.02
2026-03-26 17:54:52.230,POSCTL,True,0.104,-2.458,354.585,-0.0055,0.0004,0.0092,0.0006,-0.0034,-0.0314,-0.0007,0.0002,-0.0043,0.001,0.031,62,14.998,0.0,0.0,0.0,0.03,ON,0.02
2026-03-26 17:54:53.233,PX4_0,False,0.095,-2.455,354.646,-0.0089,0.0003,0.0021,0.0007,-0.0033,-0.0314,0.0009,0.0,-0.001,0.001,0.031,62,14.994,0.0,0.0,0.0,0.03,ON,0.02
2026-03-26 17:54:54.237,AUTO.SUB_0,True,0.165,-0.35,354.261,-0.008,0.4172,-0.0231,-0.0056,0.0033,-0.0788,-0.0801,0.0448,-0.5719,0.092,0.079,60,14.856,0.0,0.0,0.0,0.03,ON,0.02
2026-03-26 17:54:55.244,PX4_0,False,-0.654,-1.654,345.272,-0.0559,-0.013,-0.0328,0,0,0,0,0,0,0.0,0,53,14.435,0.0,0.0,0.0,0.03,ON,1.09
2026-03-26 17:54:56.247,PX4_0,False,-0.505,-1.73,339.668,-0.0183,0.0159,0.0099,-0.1496,0.109,-1.3896,0.0375,-0.0271,-0.1886,0.046,1.39,51,14.345,0.0,0.0,0.0,0.03,ON,1.38
2026-03-26 17:54:57.250,PX4_0,False,-0.234,-2.217,336.378,0.0254,-0.0362,-0.005,-0.1934,0.17,-1.519,0.0786,-0.096,-0.1108,0.124,1.519,50,14.304,0.0,0.0,0.0,0.03,ON,1.51
2026-03-26 17:54:58.251,PX4_0,False,-0.239,-1.574,350.183,0.0359,0.0095,-0.0116,-0.1649,0.1637,-1.5916,0.1195,-0.1806,-0.0602,0.217,1.592,50,14.269,0.0,0.0,0.0,0.03,ON,1.59
2026-03-26 17:54:59.253,PX4_0,False,0.755,-1.352,349.909,-0.02,-0.028,-0.0015,-0.1192,0.0697,-1.6355,0.0888,-0.1669,-0.0259,0.189,1.635,48,14.215,0.0,0.0,0.0,0.03,ON,1.63
2026-03-26 17:55:00.257,PX4_0,False,0.924,-1.151,349.823,0.005,-0.0101,-0.0136,-0.0852,0.0027,-1.6535,0.0739,-0.106,-0.0158,0.129,1.653,48,14.192,0.0,0.0,0.0,0.03,ON,1.65
2026-03-26 17:55:01.259,PX4_0,False,0.924,-1.151,349.823,0.005,-0.0101,-0.0136,-0.0559,-0.0271,-1.6591,0.0629,-0.0788,-0.017,0.101,1.659,48,14.181,0.0,0.0,0.0,0.03,ON,1.64
2026-03-26 17:55:02.264,PX4_0,False,1.097,-1.221,352.4,-0.029,-0.0286,-0.0149,-0.0319,-0.034,-1.5883,-0.0577,0.1152,0.016,0.129,1.588,47,14.139,0.0,0.0,0.0,0.03,ON,1.59
2026-03-26 17:55:03.266,PX4_0,False,0.957,-1.4,352.321,-0.0399,-0.0049,-0.0093,-0.0644,0.027,-1.5743,-0.0329,0.0839,0.003,0.09,1.574,46,14.116,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:04.269,PX4_0,False,0.713,-1.369,352.156,-0.0255,0.0028,0.0128,-0.0573,0.0744,-1.5677,-0.0116,0.0606,-0.0048,0.062,1.568,46,14.109,0.0,0.0,0.0,0.03,ON,1.56
2026-03-26 17:55:05.274,PX4_0,False,0.933,-1.291,352.384,-0.0067,-0.047,-0.0223,-0.0478,0.0923,-1.5703,-0.0209,0.0292,-0.0052,0.036,1.57,46,14.09,0.0,0.0,0.0,0.03,ON,0.0
2026-03-26 17:55:06.278,PX4_0,False,1.105,-1.431,352.112,-0.0413,-0.0255,0.0041,-0.048,0.1025,-1.5726,-0.03,0.0259,-0.0028,0.04,1.573,45,14.061,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:07.280,PX4_0,False,0.807,-1.651,352.08,0.0403,0.034,-0.0008,-0.0763,0.1318,-1.5737,-0.0268,0.0212,-0.0014,0.034,1.574,45,14.044,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:08.283,PX4_0,False,1.011,-1.843,352.122,-0.0172,0.0041,0.0089,-0.1166,0.1281,-1.5737,-0.0039,-0.0118,-0.0048,0.012,1.574,45,14.028,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:09.285,PX4_0,False,1.072,-1.845,352.351,-0.0194,0.0251,-0.0005,-0.1336,0.1416,-1.5793,0.0334,-0.0073,-0.0027,0.034,1.579,44,14.015,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:10.289,PX4_0,False,0.0,0.0,0.0,0,0,0,-0.0924,0.1332,-1.5749,0.0383,0.0055,-0.0072,0.039,1.575,44,14.009,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:11.292,PX4_0,False,1.108,-1.442,352.407,-0.0034,-0.0068,0.0046,-0.0844,0.1277,-1.5751,0.0322,-0.0025,-0.0016,0.032,1.575,44,14.001,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:12.295,PX4_0,False,1.226,-1.314,352.283,0.0221,0.0053,-0.0064,-0.0404,0.1048,-1.5796,-0.004,0.0101,-0.0049,0.011,1.58,44,13.975,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:13.297,PX4_0,False,1.159,-1.407,352.353,-0.0346,-0.0251,0.01,-0.0375,0.0967,-1.5776,-0.0215,0.0368,-0.0019,0.043,1.578,43,13.968,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:14.300,PX4_0,False,0.947,-1.355,352.22,0.0152,0.0034,-0.0085,-0.0236,0.1198,-1.5772,-0.0223,0.0355,-0.0039,0.042,1.577,43,13.957,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:15.302,PX4_0,False,0.595,-1.49,351.584,-0.0264,-0.0219,-0.0139,-0.0232,0.1541,-1.5763,-0.0342,0.041,-0.0011,0.053,1.576,43,13.945,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:16.305,PX4_0,False,0.838,-1.481,352.108,0.0202,0.008,0.0148,-0.0296,0.1554,-1.5778,-0.03,-0.0115,-0.0043,0.032,1.578,43,13.934,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:17.306,PX4_0,False,1.256,-1.456,351.864,-0.0036,0.0379,-0.0149,-0.0344,0.1095,-1.5806,-0.0311,0.0038,0.0005,0.031,1.581,42,13.921,0.0,0.0,0.0,0.03,ON,1.58
2026-03-26 17:55:18.309,PX4_0,False,0.664,-1.382,352.342,-0.0006,-0.0568,-0.0048,-0.0231,0.1445,-1.5808,-0.0261,0.0361,-0.0013,0.045,1.581,42,13.91,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:19.312,PX4_0,False,0.686,-1.406,352.927,-0.0125,0.081,-0.0051,-0.0175,0.1598,-1.5782,-0.0268,0.0181,-0.0011,0.032,1.578,42,13.898,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 17:55:20.315,PX4_0,False,1.027,-1.252,352.93,0.018,-0.022,-0.0286,-0.0093,0.1304,-1.5741,-0.0358,-0.0058,-0.0026,0.036,1.574,42,13.886,0.0,0.0,0.0,0.03,ON,1.57
